job_id,job_title,job_company,job_source,best_cert_id,best_cert_title,cross_encoder_score,cert_score_max,explanation
li_4290752432,UI/UX Designer,"Steampunk, Inc.",linkedin,cert_0,Google UX Design,6.385,4.7823649999999995,"'Google UX Design' dinilai sangat relevan (skor rerank=6.38) terhadap lowongan 'UI/UX Designer', dengan kesamaan istilah pada: design."
li_4324763342,UX/UI Designer,"Steampunk, Inc.",linkedin,cert_0,Google UX Design,6.7066,5.0232434,"'Google UX Design' dinilai sangat relevan (skor rerank=6.71) terhadap lowongan 'UX/UI Designer', dengan kesamaan istilah pada: design."
li_4394270475,Product Designer,Remi,linkedin,cert_1,Design Thinking Professional,3.0941,0.69338781,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.09) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: design."
li_4401451723,Experience Designer,EGO,linkedin,cert_1,Design Thinking Professional,3.5501,0.79557741,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.55) terhadap lowongan 'Experience Designer', dengan kesamaan istilah pada: design."
li_4428474361,Product Designer,Quantifind,linkedin,cert_1,Design Thinking Professional,2.7409,0.61423569,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=2.74) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: design, minimum, professional, hands-on."
li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,cert_1,Design Thinking Professional,3.5356,0.7923279599999999,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.54) terhadap lowongan 'AI/ML Engineer — Job Posting', dengan kesamaan istilah pada: professional, design, hands-on."
li_4431725005,UX Designer,MDAEdge,linkedin,cert_0,Google UX Design,7.2937,5.4629813,"'Google UX Design' dinilai sangat relevan (skor rerank=7.29) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design, google."
li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,cert_1,Design Thinking Professional,5.266,1.1801106,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=5.27) terhadap lowongan 'Machine Learning Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
li_4433193265,UX Designer,Scale.jobs,linkedin,cert_0,Google UX Design,7.1604,5.3631396,"'Google UX Design' dinilai sangat relevan (skor rerank=7.16) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design."
li_4433431526,Model UX Designer,Google,linkedin,cert_0,Google UX Design,6.0571,4.5367679,"'Google UX Design' dinilai sangat relevan (skor rerank=6.06) terhadap lowongan 'Model UX Designer', dengan kesamaan istilah pada: minimum, design, google."
