id,name,company,location,skills,description,url
1134476,Lead Data Scientist,Brigit,San Francisco,"python, education, customer support, testing, marketing, dev, finance, exec, data science, junior, stats, medical, engineer, digital nomad","Hi, we're Brigit! A holistic financial health company helping everyday Americans build a brighter financial future. With a business model that is aligned with our customers, we create transparent, fair, and simple financial products that put money back in the hands of our members, help them spend wisely, avoid unfair fees and build their credit quickly. If autonomy, ownership, and having meaningful input at the company you work for is important to you, come join our growing team! Brigit is doing innovative and exciting work, but don't just take our word for it, our work is being recognized by others: Built In's 2026 Best Midsize Companies to Work For in New York City Built In's 2025 Best Places to Work For In New York City Built In's 2024 & 2025 Best Startups to Work For In the U.S. Built In's 2023 - 2025 Best Startups to Work For In New York City Fast Company's Most Innovative Companies of 2022 Business Insider's Most Promising Consumer Startups 2022 Forbes Fintech 50 2022 Role Overview: At Brigit we're focused on giving the 100M Americans who live paycheck to paycheck access to more affordable financial services and getting them on the path to better financial wellness. As a Data Scientist on our team you'll be responsible for building, improving and maintaining the key ML models that enable our services. The key problem spaces we are focused on are: Identifying credit risk of customers so that we can help more people in need when they need it Identify fraud early, so we can focus on customers that rely on us for support Optimizing our transaction timing so we aren't causing our customers to overdraw their accounts. We have access to rich, structured data that we can use to derive insights and build complex models. In addition to supporting new use cases when needed, you will also have the opportunity to help us stand-up best practices and collaborate across Data Science. Analytics, Product and Engineering teams. What you'll be doing: Build, test and roll out new underwriting and risk models to better predict risk You'll have ownership of the full modeling lifecycle from conception through to production and realize every bit of impact along the way. Build, test and roll out new or improved models related to fraud and payments. Contribute to building best practices for feature development, model training and model testing and monitoring. Analyze how our customer base is shifting as we grow and pinpoint areas we can improve. Help our existing engineering and business teams achieve our cross-functional goals. Mentor more junior data scientists or aspiring data scientists across the data team. What you have: 6+ years of experience doing data science (modeling + analysis) Advanced degree in data science, statistics, computer science, or related field. Proven expertise in machine learning principles and techniques Experience in Python, using industry-standard modeling toolkits like sklearn, JupyterLab, pandas, matplotlib, statsmodels, etc. Experience in writing complex SQL queries and the ability to put together multiple data sources Experience creating training data sets, training models, tuning hyperparameters, performing validation, running A/B tests in production, creating and owning performance and model monitoring Experience building classification and prediction models, testing them in a startup environment and iterating to improve their models. Ability to work effectively and communicate ideas/code clearly in a cross functional team environment (Engineering, Product and Business teams) Experience building end-to-end data science solutions to address business needs: from ideation to deployment & AB testing Strong written and verbal communication skills, with the ability to explain complex concepts to various audiences Who You Are Passionate self-starter who is always looking for ways to optimize, test, and improve Ability to operate through ambiguity by asking questions and learning quickly Always willing to collaborate and help your colleagues to do their best work. Passionate about making a difference in people's lives through your work The anticipated annual base salary for this position is $185,000 - $215,000 with a 10% annual bonus opportunity. This range does not include any other compensation components or other benefits for which an individual may be eligible. The actual base salary offered depends on a variety of factors, which may include as applicable, the qualifications of the individual applicant for the position, years of relevant experience, specific and unique skills, level of education attained, certifications or other professional licenses held, and the location in which the applicant lives and/or from which they will be performing the job. Our Benefits & Team Medical, dental, and vision insurance Flexible PTO Policy 401k plan Paid Parental Leave Physical and mental wellbeing benefits including Wellhub for access to virtual workouts and discounted gym memberships, and Headspace for covered virtual therapy sessions and unlimited on demand health support Monthly reimbursements to use against wifi and cell phone bills Annual reimbursement for Learning & Development Help hard working Americans build a brighter financial future High-growth company A dynamic, flexible and collaborative start-up work environment with a highly talented team Brigit is committed to providing equal employment opportunities for all applicants and employees without regard to race, religion, color, sex, pregnancy (including breast feeding and related medical conditions), national origin, citizenship status, uniform service member status, age, genetic information, disability, or any other protected status in accordance with all applicable federal, state and local laws. We are proud to be an equal opportunity workplace. If you require reasonable accommodation in completing an application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please email accommodations@hellobrigit.com. Disclosures: For information on our data privacy policies, see the Brigit California Personnel Privacy Policy . Brigit uses E-Verify for employment authorization. See the E-Verify and Department of Justice websites for more details.",https://remoteOK.com/remote-jobs/remote-lead-data-scientist-brigit-1134476
1134472,Customer Support,Recruitlytics Hiring,"المدينة, المدينة المدينة السعودية","design, vfx, designer, technical, dev, marketing, exec, medical, engineer, digital nomad, virtual assistant, education, customer support, video, microsoft, ops, excel, sys admin","Customer Support Specialist (Arabic) | Remote We are actively seeking a detail-oriented Remote Customer Support (Arabic) Specialist to join our team. In this role, you will be responsible for delivering professional and timely support to Arabic-speaking customers through various communication channels. You will handle customer inquiries, resolve issues efficiently, and ensure a positive customer experience at every interaction. Strong communication skills in Arabic, excellent problem-solving ability, and attention to detail are essential for success in this remote position. Your contribution will play a key role in maintaining customer satisfaction and supporting the overall growth of our organization. Key Responsibilities 1) Customer Communication Respond to customer inquiries via email, chat, or phone in Arabic (and English if required) Provide accurate information about products, services, and processes Maintain clear, professional, and empathetic communication 2) Issue Resolution Assist customers with troubleshooting and resolving common issues Identify root causes and guide customers through solutions Escalate complex or sensitive cases to appropriate teams 3) Case Management Document all customer interactions in CRM or support systems Track open cases and follow up to ensure timely resolution Maintain accurate and up-to-date customer records 4) Quality and Service Standards Ensure all responses meet company quality and communication standards Handle complaints with professionalism and empathy Support continuous improvement by identifying recurring issues 5) Team Collaboration Work closely with internal teams to resolve customer concerns Participate in training sessions and team meetings Stay updated on product changes, policies, and procedures Required Skills and Qualifications Fluency in Arabic (written and spoken) and good English skills Strong communication and interpersonal abilities Customer-focused mindset with empathy and patience Ability to handle multiple tasks in a fast-paced environment Basic computer skills and familiarity with digital tools Problem-solving skills and attention to detail Ability to work independently in a remote setting Previous customer support experience is a plus Technical Requirements Reliable high-speed internet connection Personal computer or laptop with updated operating system Quiet and professional workspace Familiarity with email, chat tools, and CRM systems (preferred) What We Offer Competitive compensation Flexible remote working schedule Training and onboarding support Opportunities for career growth in customer support Performance-based incentives Supportive and collaborative remote team environment Keywords Customer support • Arabic speaker • Remote work • Customer service • CRM systems • Communication skills • Problem-solving • Multilingual support • Work from home • Customer experience • Service representative",https://remoteOK.com/remote-jobs/remote-customer-support-recruitlytics-hiring-1134472
1134471,Entry Level Administrative Assistant,Recruitlytics Hiring,"المدينة, المدينة المدينة السعودية","design, vfx, designer, technical, dev, marketing, exec, medical, engineer, digital nomad, virtual assistant, education, customer support, video, microsoft, ops, excel","Our fast-growing company is seeking a dedicated Entry-Level Administrative Assistant to support the smooth operation of our daily business activities. In this role, you will assist with organizing, updating, and maintaining accurate company records and databases while ensuring information is handled efficiently and correctly. You will also provide general administrative support across teams, helping to improve workflow and streamline internal processes. Strong computer skills, a willingness to learn, and a keen eye for detail are essential for success in this position. This remote opportunity offers flexible working arrangements and the chance to grow within a supportive and dynamic work environment. What You'll Be Doing: Perform data entry and maintain accurate records across internal systems Update spreadsheets, trackers, and documentation regularly Organize digital files and ensure information is easy to access Assist with scheduling, task coordination, and administrative workflows Monitor and follow up on assigned tasks to ensure completion Support internal teams by maintaining structured and up-to-date information Identify and flag missing or inconsistent data for correction Maintain clear and professional written communication What We're Looking For: Strong attention to detail and accuracy Good organizational and time management skills Ability to follow instructions and structured workflows Basic familiarity with tools like Google Sheets or Microsoft Excel Clear written communication skills Ability to manage repetitive tasks with consistency Self-motivated and able to work independently in a remote environment No prior experience required — training will be provided Tools & Work Environment: Spreadsheets (Google Sheets / Excel) Internal tracking and documentation systems Email and communication platforms Remote collaboration tools (chat and video calls) Benefits: Competitive entry-level compensation Flexible remote working schedule Structured onboarding and training support Opportunities for career growth in administration and operations Performance-based incentives Supportive and collaborative remote team environment Access to learning resources and skill development tools Why Join? This role offers a strong foundation in administrative support and digital operations. You will gain practical experience in data management, task coordination, and workflow organization—skills that are highly transferable across various career paths. Keywords: Administrative assistant • Entry-level • Remote role • Data entry • Office support • Task coordination • Digital organization • Spreadsheet skills • Work from home • Career development",https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-recruitlytics-hiring-1134471
1134498,Administrative Data Entry File Clerk,Recruitlytics Hiring,"Alberta, Alberta, Canada","design, saas, embedded, customer support, marketing, analyst, quality assurance, finance, ops, stats, sales, sys admin, medical, engineer, backend, exec, digital nomad, data entry, jira, hr, cloud, admin, excel, legal","Dedicated to delivering exceptional service and maintaining organized business operations, our company is seeking a detail-oriented Administrative Data Entry File Clerk to join our team. If you excel at managing records, entering data accurately, and working independently in a remote environment, this opportunity may be the perfect fit for you. In this role, you will be responsible for maintaining digital files, updating databases, organizing administrative records, and ensuring information is entered accurately and efficiently. Your attention to detail, reliability, and commitment to data accuracy will play an important role in supporting daily operations and helping our team stay organized and productive. Key responsibilities: Intake & indexing. Receive files from shared inboxes, portals, internal ticketing tools, and cloud folders. Confirm document type, required fields, signatures, and attachments. Index each record using standard metadata (client/project ID, date, document category, version, region). Document organization. Apply standardized naming conventions and folder structures. Convert formats when needed (PDF merge/split, image-to-PDF, compressing, version labeling). Maintain controlled libraries (final vs draft vs archived), including retention tags. Quality control Perform daily spot checks for duplicates, misfiles, missing pages, and unreadable scans. Flag exceptions and route them to the correct owner with clear notes. Maintain error logs and contribute to process improvements that reduce rework. Records governance & compliance Handle sensitive records with strict access controls and confidentiality. Follow retention schedules, legal hold instructions, and deletion/archival rules. Support audits by pulling records quickly and documenting chain-of-custody steps. Collaboration & communication. Coordinate with HR, Finance, Operations, Legal, or Customer teams to clarify file requirements. Provide status updates on backlog, turnaround time, and issues found during processing. Tools you may use: Cloud storage (Google Drive/SharePoint/Dropbox), document tools (Adobe Acrobat or equivalents), spreadsheets, ticketing (Jira/Asana/ServiceNow), e-signature platforms, and basic office productivity tools. Success metrics (examples): Accuracy rate (misfile/metadata error rate) Turnaround time from receipt to filed Backlog size and daily throughput Audit retrieval speed and completeness Compliance adherence (access control, retention tagging) Qualifications: Experience in records management, admin support, clerical work, or document control (preferred). Strong attention to detail; able to follow naming/filing rules consistently. Comfortable handling confidential information and following strict procedures. Basic computer proficiency: file systems, spreadsheets, PDFs, and collaboration tools.",https://remoteOK.com/remote-jobs/remote-administrative-data-entry-file-clerk-recruitlytics-hiring-1134498
1134495,File Clerk,Recruitlytics Hiring,"Hong Kong, Hong Kong, Hong Kong SAR","jira, hr, customer support, finance, cloud, admin, exec, ops, legal","As a Remote File Clerk, you'll keep digital and scanned records accurate, organized, searchable, and compliant. You'll support multiple teams by receiving documents, validating completeness, applying naming conventions, classifying files into the correct repositories, and maintaining an audit-ready trail of what was received, when it was processed, and where it lives. You'll work in a high-volume environment where speed matters, but accuracy and confidentiality matter more. Key responsibilities: Intake & indexing: Receive files from shared inboxes, portals, internal ticketing tools, and cloud folders. Confirm document type, required fields, signatures, and attachments. Index each record using standard metadata (client/project ID, date, document category, version, region). Document organization: Apply standardized naming conventions and folder structures. Convert formats when needed (PDF merge/split, image-to-PDF, compressing, version labeling). Maintain controlled libraries (final vs draft vs archived), including retention tags. Quality control Perform daily spot checks for duplicates, misfiles, missing pages, and unreadable scans. Flag exceptions and route them to the correct owner with clear notes. Maintain error logs and contribute to process improvements that reduce rework. Records governance & compliance: Handle sensitive records with strict access controls and confidentiality. Follow retention schedules, legal hold instructions, and deletion/archival rules. Support audits by pulling records quickly and documenting chain-of-custody steps. Collaboration & communication: Coordinate with HR, Finance, Operations, Legal, or Customer teams to clarify file requirements. Provide status updates on backlog, turnaround time, and issues found during processing. Tools you may use: Cloud storage (Google Drive/SharePoint/Dropbox), document tools (Adobe Acrobat or equivalents), spreadsheets, ticketing (Jira/Asana/ServiceNow), e-signature platforms, and basic office productivity tools. Success metrics (examples): Accuracy rate (misfile/metadata error rate) Turnaround time from receipt to filed Backlog size and daily throughput Audit retrieval speed and completeness Compliance adherence (access control, retention tagging) Qualifications: Experience in records management, admin support, clerical work, or document control (preferred). Strong attention to detail; able to follow naming/filing rules consistently. Comfortable handling confidential information and following strict procedures. Basic computer proficiency: file systems, spreadsheets, PDFs, and collaboration tools.",https://remoteOK.com/remote-jobs/remote-file-clerk-recruitlytics-hiring-1134495
1134455,Online Casino Game Tester,RG&T Solutions,"New York,","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal, coordinator, dev, cloud, excel, sys admin, game dev","Join a gambling technology company as a Website Tester across Michigan, New Jersey, Pennsylvania, and West Virginia . This flexible, short-term contract offers an opportunity to earn at least $1,000 for about 20 hours of testing, with a minimum of $25/hour and a $100 onboarding bonus. No prior experience is needed; training is provided. As a tester, you will participate in user experience testing on online casino platforms, follow instructions, report bugs, and provide feedback within deadlines. Requirements include being 21+, owning a computer, residing in one of the eligible states, and completing online training. Enjoy the benefits of working from home, flexible hours, fast payments, and ongoing support. This role is ideal for those seeking extra income and a convenient, remote testing opportunity.",https://remoteOK.com/remote-jobs/remote-online-casino-game-tester-rgampt-solutions-1134455
1134448,Member of Marketing Staff,Slingshot,"New York,","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify","Slingshot AI Slingshot AI is the team behind Ash, the first AI designed for mental health. Our mission is to make support more accessible and help people change their lives in the ways they want. We're building a world-class team by empowering individuals with the autonomy, flexibility, and support they need to do their best work. We dream big, iterate fast, and care deeply. If that sounds like you, we'd love to hear from you. Our team spans machine learning, product, engineering, conversational design, clinical, growth, and operations, with offices in both New York City and London. We're a well-funded Series A company, having raised $93M from Andreessen Horowitz, Radical Ventures, Forerunner Ventures, plus top-tier tech investors involved in ElevenLabs, Captions, Shopify, Plaid, Notion, Canva, Twitch, Airtable, and many others. The Role We're looking for someone to invent new ways for people to discover Ash. Ash is going from 0 to 1, and how we show up online will shape whether people trust us with something as personal as their mental health. We're looking for someone who lives at the intersection of content, social, and growth — a builder who can create things people want to share, and read the data to know what's actually working. This is a hands-on role. One day you're writing and shipping a social campaign; the next you're spinning up a growth experiment, testing a new channel, or turning a product moment into content that travels. You've built things people care about. Maybe that's a social audience. Maybe it's a community, a newsletter, a creative project, or a brand. Whatever it is, you've learned what earns attention and trust. A note on how we work: we love doing the work ourselves, so we can get good at it. You'll be hands-on across everything: making the content, running the experiment, pulling the numbers. A true jill (or jack) of all trades. You'll partner closely with our marketing team, our Head of Marketing, and our founders. You won't have a big team or a big playbook. We value moving quickly, learning fast, and out-of-the-box thinking. The right person comes up with an idea today and ships it today. What You'll Do Create content that travels. Make social-first content across channels that earns attention and connects to how Ash shows up in the world. You know what works on each platform and why. Grow and test channels. Design fast experiments across social, organic, referral, and emerging channels. Use data to decide what deserves more investment. Connect brand to growth. Translate Ash's positioning and messaging into content and campaigns that both feel right and drive results. Turn moments into momentum. Take product launches and cultural moments and turn them into content and campaigns that build audience and demand. Read the numbers. Live in the analytics enough to know which content, channels, and experiments are actually moving the needle, and act on it fast. Build the audience. Grow Ash's presence across social from the ground up, with a feel for community, tone, and what makes people want to follow along. What We're Looking For 3 to 5 years across social, content, growth, or creator-led marketing, ideally at an early-stage startup where you did everything with limited resources You have strong creative judgment. You know when something feels original versus derivative, and you make work people remember (the creators I like really had that capability) You've grown an audience yourself; on your own channels or a brand's, and understand what makes content spread Strong content and social instincts: you know what works on each platform and can make it yourself Growth-minded: you design clean experiments, read the data honestly, and kill what isn't working Brand-fluent: you understand positioning and messaging, and keep your work consistent with how Ash shows up in the world Builder, not delegator: you've made the work yourself rather than managing agencies, and you prefer it that way Scrappy and self-directed: you run with ambiguity and ship with incomplete information Consumer experience strongly preferred (consumer app, CPG, or consumer health); creator or culture-native backgrounds welcome Excited to build in mental health, with the judgment and care the category demands Why This Role You'll shape how a new kind of brand shows up in culture; grounded in how people actually feel, not just what they do or buy. You'll get the creative canvas of a true 0 to 1 and the data to know what's working, with the resources of a well-funded company behind you. What We Offer A chance to join a passionate tight-knit team working on something to change the world Competitive compensation (top of personal market) Travel between our NYC / London offices Usual startup perks like free lunch and coffee in office + generous learning budget We cover your personal therapy",https://remoteOK.com/remote-jobs/remote-member-of-marketing-staff-slingshot-1134448
1134451,Manager HR Business Partner,LinkedIn,"Mountain View, Mountain View, California, United States","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal","LinkedIn is the world's largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We're also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that's built on trust, care, inclusion, and fun – where everyone can succeed. Join us to transform the way the world works. Job Description At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. This role may be remote or hybrid. At LinkedIn, hybrid roles are performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team. Remote roles are performed from the designated home work location upon time of hire, and any changes to this home work location requires a review of remote status and approval. This role can be based in San Francisco, Mountain View, Chicago or New York. The Senior Manager, HRBP Consulting and Solutions (C&S) Behavior Management role, will lead a team of HR Business Partners responsible for advising and consulting people leaders on employee conduct, workplace behavior, and disciplinary and sensitive employee matters. The role ensures consistent, fair, and compliant resolution of employee concerns while enabling people leaders to make confident, timely people decisions. The Senior Manager serves as a trusted partner to HR, Legal, Employee Relations, Compliance, and business leaders, driving operational excellence, risk mitigation, manager capability, and a positive employee experience. This leader balances sound judgment with business pragmatism, helping scale a high-quality HR partnership model across regions and functions. The Senior Manager will report to the Sr Director, Consulting & Solutions and lead a team of HRBPs focused on behavior management. The successful candidate will have strong HR business partnering experience, be driven and self-directed, have strong management capability, and demonstrate operational excellence. Responsibilities: Lead and Develop a Team of HR Business Partners Hire, coach, develop, and support a team of HR Business Partners specializing in behavior management. Establish a culture of accountability, inclusion, collaboration, and continuous learning. Provide guidance on complex and sensitive employee situations requiring escalated judgment. Drive consistency in decision-making, documentation, and case management practices across the team. Calibrate recommendations and outcomes to ensure fair, consistent, and equitable treatment. Provide Strategic Consultation on Behavior and Conduct Matters Serve as the escalation point for high-risk or complex behavior, conduct, and disciplinary cases. Ensure team is appropriately partnering with leaders to address concerns related to workplace behavior, policy adherence, interpersonal conflict, and team effectiveness. Ensure alignment between business needs, company values, risk mitigation, and employee experience considerations. Drive Manager Effectiveness Build manager capability through team's coaching, consultation, and scalable guidance. Identify patterns and recurring challenges impacting manager effectiveness and organizational health. Develop frameworks, training, and best practices that improve leadership decision-making. Enable leaders to navigate employee issues with confidence while maintaining fairness and consistency. Risk Management and Compliance Ensure all employee matters are handled in accordance with company policy, employment law, and regional requirements. Partner closely with Legal, Employee Relations, Compliance, and Functional HRBPs on sensitive matters. Monitor risk trends and proactively recommend actions to mitigate organizational exposure. Maintain high standards of confidentiality and professionalism. Operational Excellence Establish and continuously improve case management processes, service delivery standards, and team operating rhythms. Leverage data and reporting to identify trends, drive insights, influence HR initiatives, and improve outcomes. Monitor team capacity, service levels, and quality standards. Drive consistency across regions while balancing local employment law and cultural considerations. Cross-Functional Partnership Build strong, collaborative partnerships with HRBPs, Legal, Employee Relations, Compliance, and HR Operations teams. Contribute expertise to organization-wide talent, culture, and workforce initiatives. Qualifications Basic Qualifications: 10+ years of progressive Human Resources experience required with significant focus on manager consulting and performance and behavior management. 3+ years experience supporting global organizations in a centralized HRBP or shared services model Preferred Qualifications: 3+ years of direct people management experience or equivalent Strong knowledge of employment law and HR practices across multiple geographies Ability to exercise sound judgment in ambiguous and sensitive situations. Ability to manage, coach, mentor and motivate a diverse global team while ensuring team and individual accountability and performance standards are met Experience implementing HR and operational programs and strategies Background and familiarity with HR functional areas Ability to prioritize, multitask and manage multiple projects successfully in a fast-paced and dynamic environment Strong attention to detail and commitment to delivery of quality/accurate work products Logical reasoning, analytical, and problem-solving skills to troubleshoot and overcome challenges Experience working in a highly-matrix and global organization and knows how to collaborate effectively with multiple stakeholders Proven leadership experience, with the maturity and ability to influence stakeholders and gain buy-in Outstanding interpersonal and communication skills, both verbal and written Suggested Skills: Behavior Management People Leadership Cross Functional Collaboration Risk Mitigation Strategic HR Partnership LinkedIn is committed to fair and equitable compensation practices. The pay range for this role is $144,000 to $234,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor. The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits. Additional Information Equal Opportunity Statement We seek candidates with a wide range of perspectives and backgrounds and we are proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful. If you need a Reasonable Accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us and describe the specific Accommodation requested for a disability-related limitation. Fill out an Accommodation request here: https://app.smartsheet.com/b/form/b660a0327d044969abfd7a4e73d15c36 Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to: Documents in alternate formats or read aloud to you Having interviews in an accessible location Being accompanied by a service dog Having a sign language interpreter present for the interview A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response. LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information. San Francisco Fair Chance Ordinance Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records. Pay Transparency Policy Statement As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency. Global Data Privacy Notice and Compliance Posters for Job Candidates Please use this link to access documents that provide information about how LinkedIn handles the personal data of employees and job applicants, as well as the E-Verify Participation Notice and the Department of Justice Immigrant and Employee Rights Section Right to Work posters: https://www.linkedin.com/legal/candidate-portal.",https://remoteOK.com/remote-jobs/remote-manager-hr-business-partner-linkedin-1134451
1134457,Business Analyst,Blockchain.com,"New York, New York, United States","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal, coordinator, dev, cloud, excel, sys admin, game dev, english teacher, teaching, linguistics, analyst, crypto, controller, recruiter","Blockchain is connecting the world to the future of finance. As the most trusted and fastest-growing global crypto company, it helps millions of people worldwide safely access cryptocurrency. Since its inception in 2011, Blockchain has earned the trust of over 90 million wallet holders and more than 40 million verified users, facilitating over $1 trillion in crypto transactions. Blockchain.com is looking for a Business Analyst to support strategic products, markets, and customer segments within the Consumer business. This is a high-impact analytical and product-oriented role focused on business performance, growth opportunities, customer insights, product execution, and operational excellence. You will work closely with Business Leads, Product, Engineering, Trading, Risk, Compliance, Marketing, Finance, and Regional teams to help identify opportunities, shape product priorities, build business cases, track performance, and support the launch of new initiatives. WHAT YOU WILL DO Support the strategy, roadmap, and commercial performance of key business areas within Consumer. Analyze business performance across users, activity, revenue, margin, retention, volume, conversion, and P&L. Work with Business Leads and Product Managers to identify product opportunities, define problem statements, and support prioritization. Translate business goals, customer insights, and data analysis into clear product recommendations. Build dashboards, reports, and analysis to help teams understand performance, diagnose issues, and identify opportunities. Support business cases for new products, features, markets, or customer propositions, including market size, customer demand, economics, operational requirements, and risk. Partner with Product and Engineering to help define requirements, clarify trade-offs, and support delivery of customer-facing features. Support product launches by coordinating inputs across Product, Engineering, Marketing, CRM, Growth, Compliance, Operations, and Regional teams. Work with Trading, Treasury, Risk, Finance, and Compliance to analyze pricing, economics, risk controls, and profitability. Track competitors, customer behavior, and market trends to identify opportunities to differentiate and win share. Help establish a clear operating cadence around performance tracking, experimentation, launches, product reviews, and business reviews. WHAT YOU WILL NEED Experience in business analysis, product analytics, product operations, strategy, growth, fintech, crypto, payments, consulting, or consumer technology. Strong analytical skills and comfort working with data, business modeling, funnels, unit economics, pricing, conversion, retention, and profitability. Ability to turn data, customer insights, and business problems into clear product recommendations. Strong product judgment and strong interest in building customer-facing products. Ability to work closely with Product and Engineering teams, including helping define requirements, prioritize opportunities, and support execution. Strong communication skills and ability to present findings clearly to cross-functional stakeholders. Comfort operating in a fast-moving, ambiguous environment. High ownership, attention to detail, and willingness to work across both strategic analysis and hands-on product execution. Interest in crypto, fintech, consumer products, and high-growth businesses. COMPENSATION & PERKS Full-time salary based on experience and meaningful equity in an industry-leading company Hybrid model (remote & on-site setup is mandatory) Unlimited vacation policy; work hard and take time when you need it Apple equipment The opportunity to be a key player and build your career at a rapidly expanding, global technology company in an emerging field Flexible work culture Blockchain is committed to diversity and inclusion in the workplace and is proud to be an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, religion, color, national origin, gender, gender expression, sex, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law. This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, and apprenticeship. Blockchain makes hiring decisions based solely on qualifications, merit, and business needs at the time. You may contact our Data Protection Officer by email at dpo@blockchain.com. Your personal data will be processed for the purposes of managing Controller's recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment. Your personal data will be shared with Greenhouse Software, Inc., a cloud services provider located in the United States of America and engaged by Controller to help manage its recruitment and hiring process on Controller's behalf. Accordingly, if you are located outside of the United States, your personal data will be transferred to the United States once you submit it through this site. Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data collected from EU data subjects, the transfer will be subject to appropriate additional safeguards under the standard contractual clauses. Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have the right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.",https://remoteOK.com/remote-jobs/remote-business-analyst-blockchain-com-1134457
1134446,Special Services Associate AIRDRIE,The Home Depot Canada,"Airdrie,",,"Are you someone who thrives on helping others succeed, enjoys making an impact, and takes pride in guiding customers to the right solutions for their projects? If you're also naturally curious and eager to keep learning, consider starting or growing your career with us at The Home Depot.",https://remoteOK.com/remote-jobs/remote-special-services-associate-airdrie-the-home-depot-canada-1134446
