job_id,source,title,company,matched_skills,description_summary
li_4432634871,linkedin,Adv-UI/UX Designer,FedEx Freight,"[""Requirements Engineering"", ""UI Prototyping"", ""UX Research"", ""Usability Testing""]","While this position is eligible to work remotely if the successful candidate is located outside the Memphis, TN & Harrison, AR areas, the candidate must reside within 50 miles of a FedEx Freight location within the continental U.S. If the successful candidate is located in the Memphis, TN or Harrison, AR areas, the candidate will be required to work a hybrid schedule, working three days per week in the office. If this opportunity includes multiple job levels, the pay information represents the..."
li_4430498950,linkedin,Quantitative Data Analyst,Lazard,"[""Java/Python"", ""Requirements Engineering"", ""SQL""]","Lazard is a place of continuous knowledge sharing, skill development and relationship building, where professionals grow and succeed together. Representation at Lazard Lazard is an intellectual capital business committed to delivering the best advice and solutions to clients. Lazard was built on the premise that a multicultural firm can best serve a global clientele."
li_4352341970,linkedin,Lead UX Designer,Cricut,"[""UX Research"", ""Usability Testing""]","Job Description The UX team at Cricut is responsible for user research, interaction design and visual design of software applications across desktop and mobile platforms. We design intuitive, easy-to-use software that inspires our customers, and helps them design and make unique, personalized projects. As a Lead UX Designer within the UX team at Cricut, you’ll lead the creation of thoughtful and compelling user experiences to elevate the brand and introduce Cricut to a wider audience."
li_4434667511,linkedin,Data Scientist,KNOWFINITY,"[""AI Application"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Decision Tree/KNN/SVM"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Performance Measurement"", ""Predictive Modeling"", ""SQL"", ""Usability Testing""]","The ideal candidate should have hands-on experience in statistical analysis, predictive modeling, machine learning, and transforming complex data into actionable business insights within a fast-paced product environment. Preferred - Experience working in a product-based company. - Exposure to Generative AI, NLP, and Large Language Models (LLMs). - Experience with Spark, Databricks, and big data technologies. - Familiarity with MLOps tools and model deployment practices. - Experience with A/B..."
li_4436138233,linkedin,"Data Scientist, Baseball Analytics",Boston Red Sox,"[""Algorithm Design"", ""Java/Python"", ""Machine Learning"", ""Predictive Modeling"", ""SQL""]","POSITION OVERVIEW : The Boston Red Sox seek a Data Scientist for the club’s Baseball Analytics department to develop, evaluate, and optimize predictive models that enhance decision-making across all aspects of Baseball Operations. Operating in a dynamic and intellectually stimulating environment, the Data Scientist will collaborate closely with the Baseball Analytics team and other Baseball Operations stakeholders to influence player personnel decisions and strategic initiatives. This role..."
li_4432248908,linkedin,Machine Learning Engineer,KTek Resourcing,"[""Java/Python"", ""Machine Learning""]",Skills: Scikit library JAVA Machine Learning Python
li_4434660737,linkedin,Data Scientist,KNOWFINITY,"[""AI Application"", ""Classification"", ""Clustering"", ""Dashboard & Reporting"", ""Decision Tree/KNN/SVM"", ""Java/Python"", ""Machine Learning"", ""Neural Network"", ""Performance Measurement"", ""Predictive Modeling"", ""SQL"", ""Usability Testing""]","The ideal candidate should have hands-on experience in statistical analysis, predictive modeling, machine learning, and transforming complex data into actionable business insights within a fast-paced product environment. Preferred - Experience working in a product-based company. - Exposure to Generative AI, NLP, and Large Language Models (LLMs). - Experience with Spark, Databricks, and big data technologies. - Familiarity with MLOps tools and model deployment practices. - Experience with A/B..."
li_4428109706,linkedin,Senior Data Scientist,Roku,"[""Dashboard & Reporting"", ""Java/Python"", ""SQL"", ""Usability Testing""]","About the team The Core Analytics Team is a centralized function dedicated to providing data-driven insights to drive business and product success. The Roku Culture Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. If you do not wish to receive any communications from Roku regarding this role or similar roles in the future, you may unsubscribe at any time by emailing WorkforcePrivacy@Roku.com."
li_4254370691,linkedin,"Data Scientist, Analytics (Technical Leadership)",Meta,"[""AI Application"", ""Java/Python"", ""Machine Learning"", ""Predictive Modeling"", ""Risk Assessment"", ""SQL""]","You will tell data-driven stories, present clear insights, and build credibility with stakeholders. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of..."
li_4436763342,linkedin,Data Scientist,Zest for Tech,"[""Classification"", ""Java/Python"", ""Machine Learning""]","Senior Data Scientist - Washington DC - $150k-$210k We are partnered with an established start up building AI products that deliver real social impact. They have been profitable for the past three years and continue to invest heavily in applied AI across their platform. This role is focused on applying machine learning and modern AI techniques to real world problems, taking models from experimentation through to production, and directly influencing how AI powered features are designed,..."
li_4404995783,linkedin,"Data Scientist, New Grad",SentiLink,"[""Java/Python"", ""Machine Learning"", ""SQL""]","This role is designed for new PhD graduates or early-career researchers interested in applying machine learning to real-world fraud detection. You will work with teams across the company to research new types of fraud, develop new products, and provide analysis to drive sales and marketing. This role can be remote within the U.S., with a strong preference for candidates who can work from our Austin, San Francisco, or New York offices."
