course_name,rank,job_id,job_title,job_company,job_source,course_job_score_max,explanation
Algoritma dan Pemrograman,1,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.2181,"'Algoritma dan Pemrograman' dinilai kurang relevan (skor rerank=-2.22) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: debugging."
Algoritma dan Pemrograman,2,li_4373708675,Software Engineer,Avid Technology Professionals,linkedin,-2.47,"'Algoritma dan Pemrograman' dinilai kurang relevan (skor rerank=-2.47) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Algoritma dan Pemrograman,3,li_4433237538,Software Developer,Altec,linkedin,-2.8238,"'Algoritma dan Pemrograman' dinilai kurang relevan (skor rerank=-2.82) terhadap lowongan 'Software Developer', dengan kesamaan istilah pada: debugging, data."
Algoritma dan Pemrograman,4,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.8872,"'Algoritma dan Pemrograman' dinilai kurang relevan (skor rerank=-2.89) terhadap lowongan 'Software', dengan kesamaan istilah pada: data."
Algoritma dan Pemrograman,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-3.3447,"'Algoritma dan Pemrograman' dinilai kurang relevan (skor rerank=-3.34) terhadap lowongan 'Machine Learning Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Analisis dan Perancangan Sistem Informasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,0.4049,"'Analisis dan Perancangan Sistem Informasi' dinilai cukup relevan (skor rerank=0.40) terhadap lowongan 'Software Developer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Analisis dan Perancangan Sistem Informasi,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-0.7791,"'Analisis dan Perancangan Sistem Informasi' dinilai kurang relevan (skor rerank=-0.78) terhadap lowongan 'Software Engineer', dengan kesamaan istilah pada: organization."
Analisis dan Perancangan Sistem Informasi,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-1.6679,"'Analisis dan Perancangan Sistem Informasi' dinilai kurang relevan (skor rerank=-1.67) terhadap lowongan 'Software Engineer 2' secara semantik, meski tidak ada istilah eksplisit yang identik."
Analisis dan Perancangan Sistem Informasi,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.2021,"'Analisis dan Perancangan Sistem Informasi' dinilai kurang relevan (skor rerank=-2.20) terhadap lowongan 'Software Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Analisis dan Perancangan Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.2978,"'Analisis dan Perancangan Sistem Informasi' dinilai kurang relevan (skor rerank=-2.30) terhadap lowongan 'Software', dengan kesamaan istilah pada: organization."
