cert_title,cert_id,rank,job_id,job_title,job_company,job_source,cross_encoder_score,explanation
Google UX Design,cert_0,1,li_4431725005,UX Designer,MDAEdge,linkedin,7.2937,"'Google UX Design' dinilai sangat relevan (skor rerank=7.29) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design, google."
Google UX Design,cert_0,2,li_4433193265,UX Designer,Scale.jobs,linkedin,7.1604,"'Google UX Design' dinilai sangat relevan (skor rerank=7.16) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design."
Google UX Design,cert_0,3,li_4324763342,UX/UI Designer,"Steampunk, Inc.",linkedin,6.7066,"'Google UX Design' dinilai sangat relevan (skor rerank=6.71) terhadap lowongan 'UX/UI Designer', dengan kesamaan istilah pada: design."
Google UX Design,cert_0,4,li_4290752432,UI/UX Designer,"Steampunk, Inc.",linkedin,6.385,"'Google UX Design' dinilai sangat relevan (skor rerank=6.38) terhadap lowongan 'UI/UX Designer', dengan kesamaan istilah pada: design."
Google UX Design,cert_0,5,li_4433431526,Model UX Designer,Google,linkedin,6.0571,"'Google UX Design' dinilai sangat relevan (skor rerank=6.06) terhadap lowongan 'Model UX Designer', dengan kesamaan istilah pada: minimum, design, google."
Design Thinking Professional,cert_1,1,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,5.266,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=5.27) terhadap lowongan 'Machine Learning Engineer' secara semantik, meski tidak ada istilah eksplisit yang identik."
Design Thinking Professional,cert_1,2,li_4401451723,Experience Designer,EGO,linkedin,3.5501,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.55) terhadap lowongan 'Experience Designer', dengan kesamaan istilah pada: design."
Design Thinking Professional,cert_1,3,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,3.5356,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.54) terhadap lowongan 'AI/ML Engineer — Job Posting', dengan kesamaan istilah pada: professional, design, hands-on."
Design Thinking Professional,cert_1,4,li_4394270475,Product Designer,Remi,linkedin,3.0941,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=3.09) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: design."
Design Thinking Professional,cert_1,5,li_4428474361,Product Designer,Quantifind,linkedin,2.7409,"'Design Thinking Professional' dinilai sangat relevan (skor rerank=2.74) terhadap lowongan 'Product Designer', dengan kesamaan istilah pada: design, minimum, professional, hands-on."
