job_id,final_score,job_title,job_company,job_source,explanation
li_4431725005,6.962,UX Designer,MDAEdge,linkedin,"KHS 'Perancangan Interaksi' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.87) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: usability, testing, figma, tools. => kontribusi ke skor akhir = 1.50 | Sertifikat 'Google UX Design' (kredibilitas=0.75 ({'issuer_weight': 1.0, 'issuer_reason': ""TIER_A (matched 'google')"", 'assessment_weight': 1.0, 'assessment_reason': 'has assessment/exam/project', 'recency_weight': 0.749, 'recency_reason': '1.2 years old', 'total_credibility_weight': 0.749})): 'Google UX Design' dinilai sangat relevan (skor rerank=7.29) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design, google. => kontribusi ke skor akhir = 5.46"
li_4433193265,6.65,UX Designer,Scale.jobs,linkedin,"KHS 'Perancangan Interaksi' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Perancangan Interaksi' dinilai sangat relevan (skor rerank=1.61) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: figma, usability, tools. => kontribusi ke skor akhir = 1.29 | Sertifikat 'Google UX Design' (kredibilitas=0.75 ({'issuer_weight': 1.0, 'issuer_reason': ""TIER_A (matched 'google')"", 'assessment_weight': 1.0, 'assessment_reason': 'has assessment/exam/project', 'recency_weight': 0.749, 'recency_reason': '1.2 years old', 'total_credibility_weight': 0.749})): 'Google UX Design' dinilai sangat relevan (skor rerank=7.16) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: design. => kontribusi ke skor akhir = 5.36"
li_4324763342,5.023,UX/UI Designer,"Steampunk, Inc.",linkedin,"Sertifikat 'Google UX Design' (kredibilitas=0.75 ({'issuer_weight': 1.0, 'issuer_reason': ""TIER_A (matched 'google')"", 'assessment_weight': 1.0, 'assessment_reason': 'has assessment/exam/project', 'recency_weight': 0.749, 'recency_reason': '1.2 years old', 'total_credibility_weight': 0.749})): 'Google UX Design' dinilai sangat relevan (skor rerank=6.71) terhadap lowongan 'UX/UI Designer', dengan kesamaan istilah pada: design. => kontribusi ke skor akhir = 5.02"
li_4290752432,4.782,UI/UX Designer,"Steampunk, Inc.",linkedin,"Sertifikat 'Google UX Design' (kredibilitas=0.75 ({'issuer_weight': 1.0, 'issuer_reason': ""TIER_A (matched 'google')"", 'assessment_weight': 1.0, 'assessment_reason': 'has assessment/exam/project', 'recency_weight': 0.749, 'recency_reason': '1.2 years old', 'total_credibility_weight': 0.749})): 'Google UX Design' dinilai sangat relevan (skor rerank=6.38) terhadap lowongan 'UI/UX Designer', dengan kesamaan istilah pada: design. => kontribusi ke skor akhir = 4.78"
li_4433431526,4.537,Model UX Designer,Google,linkedin,"Sertifikat 'Google UX Design' (kredibilitas=0.75 ({'issuer_weight': 1.0, 'issuer_reason': ""TIER_A (matched 'google')"", 'assessment_weight': 1.0, 'assessment_reason': 'has assessment/exam/project', 'recency_weight': 0.749, 'recency_reason': '1.2 years old', 'total_credibility_weight': 0.749})): 'Google UX Design' dinilai sangat relevan (skor rerank=6.06) terhadap lowongan 'Model UX Designer', dengan kesamaan istilah pada: minimum, design, google. => kontribusi ke skor akhir = 4.54"
li_4427706568,4.522,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,"KHS 'Pengembangan Aplikasi Website' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=5.65) terhadap lowongan 'Web Developer (HTML,CSS) | Remote', dengan kesamaan istilah pada: web, html, css, bootstrap. => kontribusi ke skor akhir = 4.52"
li_4411864449,4.385,ES Application Developer II,University of Houston,linkedin,"KHS 'Integrasi Aplikasi Enterprise' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Integrasi Aplikasi Enterprise' dinilai sangat relevan (skor rerank=5.48) terhadap lowongan 'ES Application Developer II', dengan kesamaan istilah pada: enterprise. => kontribusi ke skor akhir = 4.38"
li_4405260780,3.415,Machine Learning (ML) Engineer,Vectara,linkedin,"KHS 'Integrasi Aplikasi Enterprise' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Integrasi Aplikasi Enterprise' dinilai sangat relevan (skor rerank=2.41) terhadap lowongan 'Machine Learning (ML) Engineer', dengan kesamaan istilah pada: enterprise. => kontribusi ke skor akhir = 1.93 | KHS 'Arsitektur Enterprise' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Arsitektur Enterprise' dinilai sangat relevan (skor rerank=1.86) terhadap lowongan 'Machine Learning (ML) Engineer', dengan kesamaan istilah pada: enterprise. => kontribusi ke skor akhir = 1.48"
li_4414938843,2.8,Web Apps Developer,Halvik,linkedin,"KHS 'Pengembangan Aplikasi Website' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Pengembangan Aplikasi Website' dinilai sangat relevan (skor rerank=3.50) terhadap lowongan 'Web Apps Developer', dengan kesamaan istilah pada: web, html, css, bootstrap. => kontribusi ke skor akhir = 2.80"
li_4431711270,2.696,UX Designer,MDAEdge,linkedin,"KHS 'Perancangan Interaksi' (bobot nilai=0.80 x kecocokan nama MK=1.00): 'Perancangan Interaksi' dinilai sangat relevan (skor rerank=3.37) terhadap lowongan 'UX Designer', dengan kesamaan istilah pada: tools, figma. => kontribusi ke skor akhir = 2.70"
